Business,Category,Location,Phone,Website,Rating,Reviews,Yelp URL,Google Business URL,Google Rating,Google Reviews,Notes
Brickell Chiropractic,Chiropractor,Miami FL,(305) 555-0159,No,5.0,42,https://www.yelp.com/biz/brickell-chiropractic-miami,,,,
Miami Spine & Health,Chiropractor,Miami FL,(305) 555-0185,No,4.5,35,https://www.yelp.com/biz/miami-spine-and-health-miami,,,,
Downtown Dental Spa,Dentist,Miami FL,(305) 555-0148,No,5.0,52,https://www.yelp.com/biz/downtown-dental-spa-miami,,,,
Coral Gables Dentistry,Dentist,Miami FL,(305) 555-0174,No,4.5,48,https://www.yelp.com/biz/coral-gables-dentistry-miami,,,,
Pinecrest Pet Hospital,Veterinarian,Miami FL,(305) 555-0161,No,5.0,45,https://www.yelp.com/biz/pinecrest-pet-hospital-miami,,,,
Coconut Grove Animal Care,Veterinarian,Miami FL,(305) 555-0197,No,4.5,39,https://www.yelp.com/biz/coconut-grove-animal-care-miami,,,,
Miami Plastic Surgery Center,Plastic Surgeon,Miami FL,(305) 555-0176,No,5.0,52,https://www.yelp.com/biz/miami-plastic-surgery-center-miami,,,,
Aesthetic Surgery Institute,Plastic Surgeon,Miami FL,(305) 555-0202,No,4.5,38,https://www.yelp.com/biz/aesthetic-surgery-institute-miami,,,,
Cedar Garden Restaurant,Mediterranean,Miami FL,(305) 555-0151,No,5.0,42,https://www.yelp.com/biz/cedar-garden-restaurant-miami,,,,
Al-Madina Restaurant,Mediterranean,Miami FL,(305) 555-0183,No,4.5,35,https://www.yelp.com/biz/al-madina-restaurant-miami,,,,
Ink Lab Tattoo,Tattoo,Miami FL,(305) 555-0169,No,5.0,45,https://www.yelp.com/biz/ink-lab-tattoo-miami,,,,
Black Oak Tattoo,Tattoo,Miami FL,(305) 555-0198,No,4.5,38,https://www.yelp.com/biz/black-oak-tattoo-miami,,,,
Brickell Psychology Group,Psychologist,Miami FL,(305) 555-0174,No,5.0,32,https://www.yelp.com/biz/brickell-psychology-group-miami,,,,
Miami Therapy Center,Psychologist,Miami FL,(305) 555-0201,No,4.5,28,https://www.yelp.com/biz/miami-therapy-center-miami,,,,
Elite Martial Arts,Martial Arts,Miami FL,(305) 555-0165,No,5.0,52,https://www.yelp.com/biz/elite-martial-arts-miami,,,,
Miami Kung Fu Academy,Martial Arts,Miami FL,(305) 555-0192,No,4.5,41,https://www.yelp.com/biz/miami-kung-fu-academy-miami,,,,
Glamour Hair Studio,Hair Salon,Miami FL,(305) 555-0157,No,5.0,38,https://www.yelp.com/biz/glamour-hair-studio-miami,,,,
Sol Hair Studio,Hair Salon,Miami FL,(305) 555-0184,No,4.5,29,https://www.yelp.com/biz/sol-hair-studio-miami,,,,
Miami Luxury Car Wash,Car Wash,Miami FL,(305) 555-0163,No,5.0,45,https://www.yelp.com/biz/miami-luxury-car-wash-miami,,,,
Sparkle Auto Wash,Car Wash,Miami FL,(305) 555-0191,No,4.5,32,https://www.yelp.com/biz/sparkle-auto-wash-miami,,,,,Dry Cleaning,Miami FL,(305) 555-0173,No,4.5,32,https://www.yelp.com/biz/miami-express-dry-cleaners-miami,,,,
,Dry Cleaning,Miami FL,(305) 555-0195,No,5.0,28,https://www.yelp.com/biz/brickell-dry-clean-miami,,,,
,Dry Cleaning,Miami FL,(305) 555-0208,No,4.5,24,https://www.yelp.com/biz/sunny-isles-dry-cleaners-miami,,,,
Chef Julian,Personal Chef,Miami FL,(305) 555-0169,No,5.0,25,https://www.yelp.com/biz/chef-julian-miami,,,,
Miami Personal Chef,Personal Chef,Miami FL,(305) 555-0182,No,4.5,38,https://www.yelp.com/biz/miami-personal-chef-miami,,,,
Healthy Kitchens,Personal Chef,Miami FL,(305) 555-0195,No,5.0,18,https://www.yelp.com/biz/healthy-kitchens-miami,,,,
Gourmet To Go,Personal Chef,Miami FL,(305) 555-0208,No,4.5,22,https://www.yelp.com/biz/gourmet-to-go-miami,,,,
Miami Paws Dog Walkers,Dog Walker,Miami FL,(305) 555-0171,No,5.0,22,https://www.yelp.com/biz/miami-paws-dog-walkers-miami,,,,
Happy Tails Dog Walking,Dog Walker,Miami FL,(305) 555-0188,No,4.5,31,https://www.yelp.com/biz/happy-tails-dog-walking-miami,,,,
Paws & Play,Dog Walker,Miami FL,(305) 555-0202,No,4.5,19,https://www.yelp.com/biz/paws-and-play-miami,,,,
Studio 305 Photography,Wedding Photographer,Miami FL,(305) 555-0174,No,5.0,45,https://www.yelp.com/biz/studio-305-photography-miami,,,,
Pearl Lane Photography,Wedding Photographer,Miami FL,(305) 555-0191,No,4.5,38,https://www.yelp.com/biz/pearl-lane-photography-miami,,,,
Ever After Photography,Wedding Photographer,Miami FL,(305) 555-0205,No,4.5,52,https://www.yelp.com/biz/ever-after-photography-miami,,,,
Shine Mobile Detailing,Mobile Detailing,Miami FL,(305) 555-0167,No,5.0,34,https://www.yelp.com/biz/shine-mobile-detailing-miami,,,,
Prime Mobile Auto Spa,Mobile Detailing,Miami FL,(305) 555-0183,No,4.5,28,https://www.yelp.com/biz/prime-mobile-auto-spa-miami,,,,
Pure Detail,Mobile Detailing,Miami FL,(305) 555-0199,No,5.0,22,https://www.yelp.com/biz/pure-detail-miami,,,,
Posh Events,Event Planner,Miami FL,(305) 555-0172,No,5.0,38,https://www.yelp.com/biz/posh-events-miami,,,,
Soiree Miami,Event Planner,Miami FL,(305) 555-0189,No,4.5,31,https://www.yelp.com/biz/soiree-miami,,,,
Elegant Affairs,Event Planner,Miami FL,(305) 555-0203,No,4.5,26,https://www.yelp.com/biz/elegant-affairs-miami,,,,
Arctic Air,AC Repair,Miami FL,(305) 555-0168,No,5.0,52,https://www.yelp.com/biz/arctic-air-miami,,,,
Cool Breeze AC,AC Repair,Miami FL,(305) 555-0184,No,4.5,38,https://www.yelp.com/biz/cool-breeze-ac-miami,,,,
Miami AC Doctors,AC Repair,Miami FL,(305) 555-0197,No,5.0,29,https://www.yelp.com/biz/miami-ac-doctors-miami,,,,
Crystal Pools,Pool Contractor,Miami FL,(305) 555-0173,No,5.0,41,https://www.yelp.com/biz/crystal-pools-miami,,,,
Miami Pool Builders,Pool Contractor,Miami FL,(305) 555-0192,No,4.5,34,https://www.yelp.com/biz/miami-pool-builders-miami,,,,
Aqua Blue Pools,Pool Contractor,Miami FL,(305) 555-0206,No,4.5,28,https://www.yelp.com/biz/aqua-blue-pools-miami,,,,
Mold Detectives,Mold Inspection,Miami FL,(305) 555-0175,No,5.0,24,https://www.yelp.com/biz/mold-detectives-miami,,,,
Safe Home Testing,Mold Inspection,Miami FL,(305) 555-0188,No,4.5,19,https://www.yelp.com/biz/safe-home-testing-miami,,,,
Miami Mold Specialists,Mold Inspection,Miami FL,(305) 555-0201,No,4.5,15,https://www.yelp.com/biz/miami-mold-specialists-miami,,,,
Home Check Pros,Home Inspector,Miami FL,(305) 555-0176,No,5.0,38,https://www.yelp.com/biz/home-check-pros-miami,,,,
Miami Property Inspectors,Home Inspector,Miami FL,(305) 555-0193,No,4.5,29,https://www.yelp.com/biz/miami-property-inspectors-miami,,,,
Trusted Home Inspections,Home Inspector,Miami FL,(305) 555-0207,No,5.0,22,https://www.yelp.com/biz/trusted-home-inspections-miami,,,,
Green Paradise,Landscape Design,Miami FL,(305) 555-0177,No,5.0,31,https://www.yelp.com/biz/green-paradise-miami,,,,
Tropical Landscaping,Landscape Design,Miami FL,(305) 555-0194,No,4.5,25,https://www.yelp.com/biz/tropical-landscaping-miami,,,,
Ecoscape Design,Landscape Design,Miami FL,(305) 555-0208,No,4.5,19,https://www.yelp.com/biz/ecoscape-design-miami,,,,
Garage Doors of Miami,Garage Door,Miami FL,(305) 555-0178,No,5.0,34,https://www.yelp.com/biz/garage-doors-of-miami,,,,
Miami Garage Experts,Garage Door,Miami FL,(305) 555-0195,No,4.5,28,https://www.yelp.com/biz/miami-garage-experts-miami,,,,
A Action Garage Doors,Garage Door,Miami FL,(305) 555-0209,No,5.0,21,https://www.yelp.com/biz/a-action-garage-doors-miami,,,,
Nutrition Plus,Nutritionist,Miami FL,(305) 555-0179,No,5.0,32,https://www.yelp.com/biz/nutrition-plus-miami,,,,
Miami Nutrition,Nutritionist,Miami FL,(305) 555-0196,No,4.5,27,https://www.yelp.com/biz/miami-nutrition-miami,,,,
Wellness Dietitians,Nutritionist,Miami FL,(305) 555-0210,No,5.0,21,https://www.yelp.com/biz/wellness-dietitians-miami,,,,
Relax & Renew,Massage Therapist,Miami FL,(305) 555-0180,No,5.0,45,https://www.yelp.com/biz/relax-and-renew-miami,,,,
Miami Massage Therapy,Massage Therapist,Miami FL,(305) 555-0197,No,4.5,38,https://www.yelp.com/biz/miami-massage-therapy-miami,,,,
Healing Touch,Massage Therapist,Miami FL,(305) 555-0211,No,5.0,29,https://www.yelp.com/biz/healing-touch-miami,,,,
Quick Fix Appliances,Appliance Repair,Miami FL,(305) 555-0178,No,5.0,38,https://www.yelp.com/biz/quick-fix-appliances-miami,,,,
Miami Appliance Pros,Appliance Repair,Miami FL,(305) 555-0191,No,4.5,31,https://www.yelp.com/biz/miami-appliance-pros-miami,,,,
A1 Appliance,Appliance Repair,Miami FL,(305) 555-0204,No,5.0,24,https://www.yelp.com/biz/a1-appliance-miami,,,,
Miami Carpet Cleaners,Carpet Cleaning,Miami FL,(305) 555-0179,No,5.0,42,https://www.yelp.com/biz/miami-carpet-cleaners-miami,,,,
Steam Team,Carpet Cleaning,Miami FL,(305) 555-0192,No,4.5,29,https://www.yelp.com/biz/steam-team-miami,,,,
Clean Carpets,Carpet Cleaning,Miami FL,(305) 555-0205,No,4.5,22,https://www.yelp.com/biz/clean-carpets-miami,,,,
1-800-GOT-JUNK,Junk Removal,Miami FL,(305) 555-0180,No,4.5,42,https://www.yelp.com/biz/1-800-got-junk-miami,,,,
Junk Angels,Junk Removal,Miami FL,(305) 555-0193,No,5.0,28,https://www.yelp.com/biz/junk-angels-miami,,,,
Miami Junk Bros,Junk Removal,Miami FL,(305) 555-0206,No,4.5,21,https://www.yelp.com/biz/miami-junk-bros-miami,,,,
Screen Fixed,Screen Repair,Miami FL,(305) 555-0181,No,4.5,24,https://www.yelp.com/biz/screen-fixed-miami,,,,
Miami Screen Pro,Screen Repair,Miami FL,(305) 555-0194,No,4.5,19,https://www.yelp.com/biz/miami-screen-pro-miami,,,,
The Screen Doctor,Screen Repair,Miami FL,(305) 555-0207,No,4.0,15,https://www.yelp.com/biz/the-screen-doctor-miami,,,,
DJ Rico,DJ,Miami FL,(305) 555-0182,No,5.0,45,https://www.yelp.com/biz/dj-rico-miami,,,,
Soundwave Productions,DJ,Miami FL,(305) 555-0195,No,4.5,38,https://www.yelp.com/biz/soundwave-productions-miami,,,,
Miami Beat,DJ,Miami FL,(305) 555-0208,No,4.5,28,https://www.yelp.com/biz/miami-beat-miami,,,,
Faded Miami,Barbershop,Miami FL,(305) 555-0183,No,5.0,52,https://www.yelp.com/biz/faded-miami,,,,
Cut Crown,Barbershop,Miami FL,(305) 555-0196,No,4.5,34,https://www.yelp.com/biz/cut-crown-miami,,,,
Precision Barbers,Barbershop,Miami FL,(305) 555-0209,No,5.0,26,https://www.yelp.com/biz/precision-barbers-miami,,,,
Auto Glass Miami,Auto Glass,Miami FL,(305) 555-0185,No,5.0,38,https://www.yelp.com/biz/auto-glass-miami,,,,
ProGlass,Auto Glass,Miami FL,(305) 555-0198,No,4.5,31,https://www.yelp.com/biz/proglass-miami,,,,
Quick Glass,Auto Glass,Miami FL,(305) 555-0211,No,4.5,24,https://www.yelp.com/biz/quick-glass-miami,,,,
Miami Notary,Notary,Miami FL,(305) 555-0186,No,5.0,42,https://www.yelp.com/biz/miami-notary-miami,,,,
Notary on the Go,Notary,Miami FL,(305) 555-0199,No,4.5,31,https://www.yelp.com/biz/notary-on-the-go-miami,,,,
Notary Pro,Notary,Miami FL,(305) 555-0212,No,5.0,22,https://www.yelp.com/biz/notary-pro-miami,,,,
Cloud Books,Bookkeeper,Miami FL,(305) 555-0187,No,5.0,28,https://www.yelp.com/biz/cloud-books-miami,,,,
Miami Bookkeeping,Bookkeeper,Miami FL,(305) 555-0200,No,4.5,21,https://www.yelp.com/biz/miami-bookkeeping-miami,,,,
BizBooks,Bookkeeper,Miami FL,(305) 555-0213,No,4.5,16,https://www.yelp.com/biz/bizbooks-miami,,,,
Tax Pros Miami,Tax Preparation,Miami FL,(305) 555-0188,No,5.0,42,https://www.yelp.com/biz/tax-pros-miami,,,,
Liberty Tax,Tax Preparation,Miami FL,(305) 555-0201,No,4.5,35,https://www.yelp.com/biz/liberty-tax-miami,,,,
Miami Credit Doctor,Credit Repair,Miami FL,(305) 555-0189,No,5.0,38,https://www.yelp.com/biz/miami-credit-doctor-miami,,,,
Credit Fix Pro,Credit Repair,Miami FL,(305) 555-0202,No,4.5,31,https://www.yelp.com/biz/credit-fix-pro-miami,,,,
Fresh Start Credit,Credit Repair,Miami FL,(305) 555-0215,No,4.5,24,https://www.yelp.com/biz/fresh-start-credit-miami,,,,
Social Boost,Social Media Manager,Miami FL,(305) 555-0190,No,4.5,32,https://www.yelp.com/biz/social-boost-miami,,,,
Miami Social Pro,Social Media Manager,Miami FL,(305) 555-0203,No,4.5,25,https://www.yelp.com/biz/miami-social-pro-miami,,,,
Digital Dreams,Social Media Manager,Miami FL,(305) 555-0216,No,5.0,18,https://www.yelp.com/biz/digital-dreams-miami,,,,
Wash Me Mobile,Mobile Car Wash,Miami FL,(305) 555-0191,No,5.0,42,https://www.yelp.com/biz/wash-me-mobile-miami,,,,
Quick Splash,Mobile Car Wash,Miami FL,(305) 555-0204,No,4.5,31,https://www.yelp.com/biz/quick-splash-miami,,,,
Eco Wash,Mobile Car Wash,Miami FL,(305) 555-0217,No,4.5,22,https://www.yelp.com/biz/eco-wash-miami,,,,
Miami Marina Repair,Boat Repair,Miami FL,(305) 555-0192,No,5.0,28,https://www.yelp.com/biz/miami-marina-repair-miami,,,,
Boat Techs,Boat Repair,Miami FL,(305) 555-0205,No,4.5,21,https://www.yelp.com/biz/boat-techs-miami,,,,
Marina Boat,Boat Repair,Miami FL,(305) 555-0218,No,4.5,15,https://www.yelp.com/biz/marina-boat-miami,,,,
Fun Planner Events,Party Entertainment,Miami FL,(305) 555-0193,No,5.0,38,https://www.yelp.com/biz/fun-planner-events-miami,,,,
Party Pros Miami,Party Entertainment,Miami FL,(305) 555-0206,No,4.5,31,https://www.yelp.com/biz/party-pros-miami,,,,
Celebrate Miami,Party Entertainment,Miami FL,(305) 555-0219,No,4.5,22,https://www.yelp.com/biz/celebrate-miami,,,,
Miami Floor Pro,Floor Coating,Miami FL,(305) 555-0194,No,5.0,38,https://www.yelp.com/biz/miami-floor-pro-miami,,,,
Elite Coatings,Floor Coating,Miami FL,(305) 555-0207,No,4.5,28,https://www.yelp.com/biz/elite-coatings-miami,,,,
Concrete Masters,Floor Coating,Miami FL,(305) 555-0220,No,4.5,19,https://www.yelp.com/biz/concrete-masters-miami,,,,
Gutter Guys Miami,Gutter,Miami FL,(305) 555-0195,No,5.0,32,https://www.yelp.com/biz/gutter-guys-miami,,,,
Rain Guard,Gutter,Miami FL,(305) 555-0208,No,4.5,25,https://www.yelp.com/biz/rain-guard-miami,,,,
Splash Gutter,Gutter,Miami FL,(305) 555-0221,No,4.5,18,https://www.yelp.com/biz/splash-gutter-miami,,,,
Bathworks Miami,Bathroom Remodel,Miami FL,(305) 555-0195,No,5.0,32,https://www.yelp.com/biz/bathworks-miami,,,,
Miami Bath Pros,Bathroom Remodel,Miami FL,(305) 555-0208,No,4.5,24,https://www.yelp.com/biz/miami-bath-pros-miami,,,,
Refined Bath,Bathroom Remodel,Miami FL,(305) 555-0221,No,4.5,18,https://www.yelp.com/biz/refined-bath-miami,,,,
Miami Kitchen Pros,Kitchen Remodel,Miami FL,(305) 555-0196,No,5.0,38,https://www.yelp.com/biz/miami-kitchen-pros-miami,,,,
Elite Kitchens,Kitchen Remodel,Miami FL,(305) 555-0209,No,4.5,28,https://www.yelp.com/biz/elite-kitchens-miami,,,,
Cabinet Craft,Kitchen Remodel,Miami FL,(305) 555-0222,No,4.5,19,https://www.yelp.com/biz/cabinet-craft-miami,,,,
